,drugName,review
148,fluoxetine,i started generic brand of prozac more than year ago i started at mg and am still on that same dose before prozac i lost almost pound because i didnt eat i wa depressed and always anxious i wa afraid of weird thing like taking a shower because i thought i would fall and die i wa afraid to win the lottery never would happen anyway lol i never had anything like this in my life i wa newly wed and just had baby so i guess it wa normal to have those feeling prozac ha been great first few week on it i had increased anxiety worse thing is i gained about pound
150,fluoxetine,i have been on prozac for about year im a small person about ft tall pound i take mg every other day my doctor say this dosage is a placebo but i highly disagree i use to suffer from mild sometimes not so mild depression never have had it while i have been on prozac it just cut off strong emotion no rage no cry and sometimes no feeling this is the only problem i am basically numb on emotion i only cry when thing really hit me hard it ha to be hard i must say i love alcohol on prozac it only take one drink to lighten me up this drug ha been a life saver
151,fluoxetine,i started fluoxetine mg i wa very scared at first taking it but after about week i felt back to myself again with my depression and anxiety i took it for almost yr then stopped because i felt better now month later im back on it praying it will help again
153,adderall,ive been diagnosed with adhd for many year my child hood wa filled with lot of trouble ive had more failing grade than i can count more referral then most kid been kicked out of an amazing school and lost a full ride scholarship im not blaming all these problem on being adhd but not having self control for my action is a big factor my doctor finally prescribed me to adderall and the difference is cazy i have been able to stay focused on school and all my class for the first time in year i am getting honor roll i have an interest in being in school id recommend any one to give adderall a try it truly ha made my life a lot easier by being able to stay focused
154,fluoxetine,i had never taken an antidepressant before i wa recently diagnosed with gastritis and irritable bowel syndrome and have been dealing with many emotional issue for quite a long time before these health problem the constant nausea from the condition only worsened my mood and outlook on life i wa on prozac mg for exactly a month after week i noticed a huge difference in my overall mood and outlook on life it wa wonderful after week my entire body started to itch palm of my hand in between finger behind ear foot leg arm you name it it itched finally talked to my doctor and decided to stop prozac and start paxil i hate that i had to switch and im not too excited about it hope this time is a charm
156,fluoxetine,wow my energy and mood is completely stable i feel completely normal no side effect actually feel like i can accomplish thing and am more apt to jump up and initiate something no irritability at all i am amazed and wished i hadnt let the bottle sit in my medicine cabinet for year fearing side effect and unwilling to swallow my pride and a mg pill hopefully this construes i am very happy
157,alprazolam,i have taken xanax now for six month and it ha been the best six month in a long time i have finally been able to go out in place where before i absolutely would not go for fear of panic attack i wa on mg ativan and mg tranxene before and all i did wa stay in my house and sleep thank goodness my doctor prescribed xanax
158,alprazolam,this wa the first medication i wa prescribed for anxiety panic attack post traumatic stress disorder and a few other problem i had going on at the same time i started taking mg once per day then mg twice per day this worked well for quite a while then i changed to mg once per day and after several month went to mg twice per day i took this for about yr total and had no nightmare seldom had racing thought the panic attack stopped pretty much all together after the first week or two and this also kept the general anxiety at bay a well the only problem wa that if you have no insurance or discount card it very expensive i had to go to mg valium x daily at the cost but wish i could still afford the xrs because they work well
159,fluoxetine,im still trying to find a medication that work for me but this is one that the doctor prescribed me about two year ago and i took it for very close to a year it did not help they kept adding more dosage until finally i quit seeing my psychiatrist altogether and stopped taking the medication
160,fluoxetine,this medication ha caused severe sexual side effect a a year old active person i have been on this for two year although this did wonder for my panic and depression it ha leveled my libido and i cant climax
165,prozac,i have been suffering from anxiety and paranoia for about month now the past month ha been extreme with constant thought that im going to die when health wise im perfectly fine besides needing to lose a few pound it ha gotten to the point where every ache and pain make me think something is wrong with me and that im going to die i fear being alone with my month old the most i fear something will happen to me and nobody will know and my baby will be alone in the house until daddy get home i tried almost everything except medicine because i am scared of side effect prescribed fluoxetine mg ive had the prescription for week and been holding off i finally gave in and started today your post give me hope
166,adderall,could not focus at all before adderall took for day aka week and could finish task at hand after day focus doubled and i have taken on more task and can finish with time to spare and no error it work
167,adderall xr,i started it a few day ago it help me stay focused and le anxious in public situation
168,fluoxetine,at first when i began taking prozac i had a lost more quotepisodesquot i just cried in my bedroom for hour i cant even describe the emotion if i could even call them that going through me it wa like a dark part of me took over and it wanted nothing but an end i dont even to what everything wa way worse multiple suicidal thought per a single day were not uncommon gradually i started feeling better there wa no sudden happiness or peace but i felt normal now i just dont know whats going on with me stress and everything is piling up on me once again eating is a chore i feel like im on the brink of falling apart on the thin line between sanityampinsanity i dont want life or death i want to not exist im just confused
169,fluoxetine,im hesitant to say that it saved my life it doing an amazing job after being on it for about two month i eat and sleep better than i had done in my entire life i even have the energy and the mood to exercise i love it and the feeling it give me
170,fluoxetine,wa able to lift me out of a severe postpartum depression
172,xanax,never get started on this drug i warn you yes i give it a but it something you should take every once in awhile never longer than month at a time im dependent on these pill have been for a decade and it started at a routine check up the worst addiction ive ever seen and im a recovering herion addict that wasnt easy but a cake walk to ever getting off xanax im on mg x a day today just like i wa year ago if my dr even mention trying to stop giving me this medicine i freak out when i dont have xanax to feel quotnormalquot iihave seizure chronic pain it horrible however i have to have these pill and pharmaceutical company knew what they were doing ever watch mtv i swear every tv show mention xan
174,alprazolam,i had a breakdown in my doctor office after my klonopin stopped working she said i needed something stronger for my daily panic attack a i could not even function at my part time job that wa only three day a week i am on mg twice daily it affordable and help like no other medicine ive tried i take it with chamomile tea to relax if ive had a stressful day or if thing get too hectic at work i may take half of one it also cured my insomnia i feel like a normal person now
176,mydayis,never had so many thought really down thought a i did well on this medication also daily dosage only lasted hour before effect decreased rapidly generic adderall last longer with no downer this one wa not the godsend i had hoped it would be
177,alprazolam,i started taking xanax when i wa fifteen i only take them when i have an anxiety attack and they are the only thing that help i am now and still only take them a needed they work within a short amount of time amp soothe all symptom even my muscle spasm
179,prozac,i started a very low dosage and worked upward until i found what worked for me mg however a my depression got worse and worse the prozac actually stopped working altogether no matter how much it wa increased it a good medicine for mild to moderate depression but there are better choice for major depression
180,prozac,it great i get song in my head or find myself humming and that hasnt happened for a long time more random positive thought too and much le of the bad one i sometimes feel down but it not often and i think unavoidable the side affect i notice is phase of vivid bad dream more nightmare and more stand that are stressful and occupy my mind too much which make me feel le rested
182,alprazolam,xanax is amazing in i wa overwhelmed with emotion my mother had a stroke in march of that year and at the same time me and my wife were expecting our st child all these emotion led to me having depression and anxiety i wa finally diagnosed in with anxiety disorderpanic attack they prescribed me xanax mg one a day and it work miracle in my daily life
183,alprazolam,i take this whenever im out where there will be load of people or crowding it stop my anxiety attack from becoming full blown i feel relaxed and at ease but when i take more than pill in a day i start to feel drowsy and nauseous but i rarely take more than i love this medication it work great for social anxiety
184,alprazolam,i thank xanax for making me a better mom i wa mean to everyone around me and i took the motto quotthis is who i amquot to heart it wa not until my mother died after having my third child that i actually realized my angry childhood and anger in this world wa not to blame on any one but my own feeling after taking xanax and some therapy i am a new person i would not be able to live without it i do not abuse it i only take the amount prescribed by my doctor and no more i also take paxil which helped me a lot a well but without the xanax i would not be living participating with my life and most of all my child i read to them now we go on picnic and wilderness hike i love my life now
185,xanax,i feel like xanax saved me i had a very rough childhood with my father addicted to drug lost our house had to raise my sister because my mom had to get a full time job i wa going down a very bumpy road i finally settled down with my now soon to be husband and with the persuasion of him and my father now sober and also ha anxiety at age i finally broke down and decided to go talk to a doctor he prescribed me to multiple antidepressant that made everything worse he then put me on xanax ive never been so stress free i have held down the same job im doing well in school and again and maintained a healthy relationship im a changed person at year old
186,adderall,i have found that a a year drug addict to painkiller i wa able to focus on staying off my drug of choice by taking adderall i believe it ha helped me stay clean and off all painkiller for year now
187,alprazolam,i first started taking mg it worked like a miracle pill i wa also having trouble sleeping i tried everything antidepressant ambien lunesta restoril you name it i tried it now after hr on xanax i use a mg pill before bed and i sleep like a rock and very rarely do i have a attack during the next day if i do i take mg and in min im fine for me it took care of both sleeping and panic attack
189,sarafem,i am totally shocked but it actually worked extremely well if only i had discovered this sooner i might still have a boyfriend
190,prozac,im hoping my post will help others who are on the fence about antidepressant my story in short is anxiety ha plagued me since my teen depression joined the parade in my late teensearly s i have tried several medication over the year and because they either made me flat or sick i didnt stick with them recently decided prozac would be my last attempt i started taking mg every morning week ago i have had very little in the way of side effect some mind shakiness in the morning little bit of difficulty falling asleep mild fatigue and dampened appetite the benefit to this point are surprising i am much calmer the anxiety is gone the depression is still present but not like week ago and before it dissipating for sure life doesnt look so quotall or nothingquot which is a nice change my spouse said my quotfidgetsquot are gone i wa almost constantly moving in some form or another i know some people think the medication reaction is quotall in one headquot but since my problem are all in my head i dont care if it the medication me thinking it is or a combination all i can say is for the first time in a very very long time i am able to run errand be more social and have actually gotten a full time job in the past week i am able to better care for myself now thus able to care better for my spouse i have no plan to stop the prozac with mgonce a day being a low dose and with it helping to this point im going to roll with this a long a i can
191,xanax,doctor had me on xanax three time a day to try and stop my anxiety depression from furthering while xanax is wonderful for anxiety be careful the withdrawal can be nasty if you dont get off it properly needle to say i get timid taking it now cause of that however it help in time of crisis
192,fluoxetine,prozac ha really helped me a lot i wa having all kind of anxiety thought and having stomach pain caused my anxiety i had a eye twitch for about a month that went away i highly recommend this or lexapro for anxiety
193,alprazolam,i have been taking xanax for about one month now and my life ha drastically changed i get really bad hot flash and when i started taking this i noticed immediate result one huge tip i have is to eat really healthy and also on day where you have time take xanax and go workout hard run on the treadmill lift weight or swim with all these thing incorporated into my life i am much happier have my social life back and i am able to show my natural talent without the fear of doom
194,fluoxetine,i have been taking fluoxetine for month id been suffering from stress and anxiety which caused depression it took week until i noticed the benefit luckily i didnt have any side effect other than weight loss bonus now i feel like i always did before life started wearing me down friend and family have noticed im happy and it feel natural i thought that taking tablet would make me appear like and feel like i wa on medication far from it i feel like myself i have since found out that my cousin and my mum had both been prescribed it in the past and both had discontinued after a week a they suffered from night tremor i would not have taken it if i had known this however i am so glad i have
195,alprazolam,i started having panic attack about year ago the dr gave me a few different drug to try all either had horrible side effect including nightmare or did nothing then we tried xanax it wa a miracle for me one mg xanax and i can function again when i wa promoted at work to a position where i would have to speak in front of a crowd i wa terrified but taking one of these ha changed my life
196,xanax,i have panic disorder and xanax ha helped me greatly the only problem that i have experienced is that i have become resistant to it rather than mg helping i need to take to calm down my doctor only allows me mg pill per month so im petrified that at some point i am going to have an attack after i have run out of med
198,fluoxetine,been on fluoxetine for five week for the first month i had no side effect and after the first two week i experienced a very slight improvement in my anxiety in the last week i have had some negative side effect very similar to that of a fever including sweating sore throat hard to breathe trouble sleeping dehydration complete lack of appetite dizziness shaking and confusion possibly the worst side affect wa the distorted vision shakey with little perception of depth slightly like being drunk i hope that the side effect subside soon
199,fluoxetine,i started taken prozac mg a day for nearly year i stopped taking them month ago a i thought i didnt need them anymore since ive stopped taking them ive become really agrophobic really depressed cant stop cry ive just shut my self away im thinking off starting prozac again
200,xanax,i wa given xanax for panic attack worked great year later and i have a tolerance and feel withdrawal in between dos i am miserable and worse than i started use caution wish i had known when i started them
202,adderall,im a year old male that ha been clean and in recovery for ten year now i have abstained from anything stronger than aspirin the whole time chronic pain had made it necessary to begin a closely monitored treatment schedule but i wa still losing a lot of focus on task at work and any motivation for anything but sleeping at home after talking to the doctor we added mg adderal time a day the difference ha been amazing i normally work pretty long hour and had been having trouble staying awake in the morning going to work and evening going home no more properly scheduling the dos keep me active and focused my entire day didnt take long to find out that it increased energy and desire in other area also all others
203,fluoxetine,i am beginning my fourth week on mg fluoxetine taken each morning i am recovering from a long term abusive relationship with a narcissist i have a head injury that predisposes me to fatigue i asked the doctor to help me with my energy level i did not admit it but the underlying feeling i had wa that everything wa too much and nothing matter anyway but nobody would have guessed how hopeless i had become and had been for at least year initially i experienced all of the symptom people warn about in the first few week insomnia and occassional extreme anxiety were the worst now i feel enthused about taking thing one at a time and am enjoying the process i have begun to sleep normally again so far so good
205,alprazolam,this medication ha been a wonderful aid to help me get my life back i suffer from panic attack a well a depression and it had gotten to the point that i wa fearful of everything then year ago my doctor put me on xanax of course it isnt the medicine alone that ha made the difference i have also treated my depression and started therapy everything together ha helped me actually enjoy life xanax isnt the right medication for everyone it is quick acting which make it great for panic attack but also ha a very short half life which make it not always a ideal for generalized anxiety there is the risk for dependency but a long a you take it a prescribed and stay honest with your doctor the risk is very low
207,fluoxetine,admittedly when i started prozac and up until i stopped taking it i wa not very honest with my therapist on my emotional state so i never changed medication despite it lack of effect on me i wa taking it to help with my depression and anxiety and it didnt help with either it didnt have any negative effect on me but it didnt have any positive effect either i had started at mg went up to mg and finally mg for each one it seemed to help at first but wouldnt after around two week although it wasnt right for me i know that it been quite helpful to friend of mine and it wouldnt hurt to try it out yourself
208,xanax,this med helped me to go back to a stressful job after am so grateful to have had this to deal with stressi wa able to function not get panicked or be exhausted by the stressful work in a hospitalmg per day wa so helpful
209,alprazolam,this is an absolutely wonderful medication xanax along with mg of prozac ha given me my life back no more insane panic attack and no more not being able to sleep take no more than what the doctor say to take in one day
210,xanax,i wa prescribed these for an onset of panic attack that would spike my bp to over taking these mg pill did nothing but make me lose my short term memory i still felt panicked and my bp would only drop slightly until i rode out the attack
211,alprazolam,this drug is just about the best thing that ever happened to me without it my panic attack would have crippled me totally by now i feel panic coming on take a pill and i am so very calm within minute no side effect and the best part is you dont have to take it regularly taken like an aspirin for a headache and work great
212,alprazolam,my psychiatrist prescribes me xanax mg per month i have generalized anxiety disorder and depression and am on other med for that xanax is only for extrastressful situation it is incredibly effective within minute of taking it i am much calmer i notice no side effect whatsoever
213,sarafem,i wa given sarafem to help with moodiness and rage during a few week out of the month i took it for day and can not get off the couch i am so drowsy i took a low dosage
214,xanax,in i started having what i now know panic attack but didnt know it at the time my doctor sent my blood in for testing trying to figure out why im having to pull over when driving cuz i think im going to pas out due to hyperventilation first i thought i wa having low blood sugar but a few week later at my follow up appt my doctor said quot youre having major panic attack i believequot i tried every anxiety medication there is trying to feel my dr gave me mg alpazolam every hour a needed i still take xanex and mg of lexapro to this day just having a xanex bar in my pocket help prevent attack today i get mg bar and i make sure i try to take no xanex a few time a week so i dont become dependent
216,alprazolam,i have been taking a combination of mg xanax time a day mg extended release xanax once daily and mg klonopin twice daily i have found that this combination of medication and xanax itself ha helped me get my mind back on the thing that matter in my life get over my fear and make an enormous amount of friend in my life although the only problem is that my doctor now tell me after month of taking this dose that he think the depakote mg a day is helping me and that he is going to start taking me off the benzodiazapines i tried to see if i would be able to get off of them and live normally i found myself worse than before the medication with severe withdrawal symptom
217,adderall xr,my son is and wa diagnosed with adhd and bipolar disorder when he wa we have tried many medication but the one to gave the most focus and changed his quality of life ha been adderall xr we immediately notice his lack of focus and hyperactivity level change if he is late taking his medicine
218,fluoxetine,i started to take prozac several month back to get off effexor it really made that transition smooth i take mg every other day i find it help with anxiety but not enough to wean off klonopin i know im normally over social and prozac make me antisocial i dont mind because im only antisocial with people i dont need to be associated with i believe my ability to orgasm ha improved from effexor to prozac i tend to sleep more than i should but it better than tossing and turning my motivation is at an all time low right now i dont know if it the prozac or work i gained weight initially but it coming off slowly and evening out i would recommend prozac it not a feelingresponsibility numbing a others med
222,alprazolam,a soon a i started taking xanax i started to feel much better i have had anxiety and panic attack for year and xanax ha really helped me i have had zero side effect from taking it so far going well
223,fluoxetine,it didnt work i wa up to mg daily and felt literally nothing ever since i had my son i have had panic attack and bad anxiety so i went to the doctor and wa prescribed prozac i wa so disappointed i almost feel more depressed now
225,alprazolam,i used to be prescribed this drug when i wa about i wa taken off it because the doctor said it can be addicting it really helped me get through my panic attack they switched me to xanax im just on paxil now my father take alprazolam once a day and it help him along with therapy
226,alprazolam,i had real bad panic attack so bad i thought i wa going crazymy doctor put me on zanax and i feel so much better i wa afraid to leave my house afraid to shop i would start to shop all of a sudden i had to run out the much more thing were happeningbut thanks to zanax i am calm cool and collectiveoh and sooooo happy
227,fluoxetine,i took mg of prozac from age to for depression and anxiety to make sure my condition didnt interfere with finishing high school and college it got rid of my anxiety and depression percent the only negative for me were that this dose made me hyperactiveharder to concentrate harder to orgasm and caused some emotional numbness where it wa harder to feel in love
229,fluoxetine,i should have been on this sooner im a year old recent law school graduate enduring the bar exam unfortunately twice my first round of studying i wa cry daily couldnt sleep wa irritable extremely depressed anxious i am normally these thing but it wa heightened by the bar exam my first time taking the exam i didnt come close to finishing the exam on the second day i wa cry and couldnt control my panic attack second round of studying for the test i decided to see a psychiatrist who gave me prozac i love it i feel like a normal person a better version of who i wa i feel even i dont have panic attack dont cry i feel great
230,fluoxetine,clencing of the jaw and bladder irritation are severe sideffects i have been having since starting fluoxetine most if perimenapausal symptom diminished however side effect are quite severe
231,xanax,i am prescribed to take two xanax a day but in reality i only take it when i am having a panic attack or feeling very tense or unhappy it work better for anxiety and tension then it doe depression a far a i can tell but then again i dont take it consistently
232,alprazolam,it is a good medicine i often find that it help me even more because i do not have to take it everyday
233,prozac,they bumped me up from mg to mg i have strong depression and anxiety but this is a great medicine for anxiety i do not think i will need klonopin anymore
234,fluoxetine,it a miracle drug i took this for anxiety and panic attack and slight depression it ha changed my life i am happier i have made more friend in the past month it ha helped with everything school stress anxiety and self confidence i cant recommend it enough
235,adderall xr,i am year old over the last year i have pretty muched ruined most of my relationship involving my career and my personal life the most common symptom i experience are difficulty concentrating and staying on task caprishious behaviorsevere mood swing impulsive behaviormaking irrational decision that significantly impact my future depression and anxiety i had a great job and i had lot of friend unfortunately difficult event took place that caused my emotional health to start spiraling out of control i became diagnosed with addadhd in april started addrerall mg xr it really helped me feel more motivated le depressed and i felt i could concentrate much better i definitely recommend this medication
237,fluoxetine,been suffering from depression most of my life ive been on zoloft and lexapro i would change when one seemed to stop working so went to prozac big mistake see the side effect i had almost every one of them doctor couldnt figure out what wa wrong till my wife showed them the side effect almost died lost in about week will never go back to it but who know it might work for you just didnt for me
238,xanax xr,this medication is amazing mostly because it start working immediately and you dont have to wait a few week like with other medicine my doctor had me taking it regularly for two month until my lexapro and seroquel kicked in and then weaned me off of it i now take it only every once in a while
239,fluoxetine,it always a test of one person everyone will have antidepressant that work best for them i tried lexapro and wellbutrin i hated wellbutrin prozac gave me zero side effect no sexual frustration no irritability and no insomnia im on my th month and just got bumped from mg to mg because of seasonal depression and feel a huge deal better ive lost lb in week because my appetite and drinking are also under control ive also heard prozac is associated with weight loss if something isnt working for you give it a try
240,alprazolam,i suffered idio pathic seizure begining when i wa about year old no lesion on my brain then came the panic attack i wa always hyper a well a my entire family i thought it wa quotnormalquot never understood how others where so quotcalmquot i became a hair stylist and began to make lot of money goergous womenyes i am straighthowever the attack kept on coming i moved from to miami finally i wound up at a clinic the shrink gave me a little pink pill and for the first time in my lifei felt like everyone else i am now year old if it werent for xanaxi would be searching for illegal alternative warning never take more than prescribed something year later i never abuse also dont mix it with anything
241,prozac,i have only been on prozac for day i havent had any irritable moment like i normally do but that could just be normal for me i am anxious about the side effect and anxious to know if this is going to help me i am year old and have suffered from ocd and anxiety for year i have never taken anything for it i just thought it wa something i could control on my own but came to the realization that i cant control everything now i am just waiting to see what happens and if this wonder drug will work for me
244,adderall,do not take adderall if high blood pressure run in your family be especially careful not to take it if you have high blood pressure already i had normal blood pressure until i started taking adderall ever since my blood pressure ha been at least and i have measured it at while on the drug i am a year old male and my dad ha hypertension which is where this incredible susceptibility come from i stopped taking it but i still have high reading which only started when i began taking adderall do yourself a big favor and harangue your doctor about adderall if you or your family ha a history of high blood pressure you dont want to end up on bp med
245,adderall,i could not get out of bed without adderall i have been taking it since however i developed a severe spinal disease fibro and arthritis i had to give in to taking pain med which interfered with my adderall dosage i currently take mg i have found this dose ineffective for the past several year my family doctor prescribes my med and doesnt feel comfortable titrating up to mg i weigh mg a well i am frustrated and feel exhausted most of the day
247,xanax,xanax made me a normal person again i had bout of anxiety seemingly my entire life but it didnt become debilitating until i reached my s and became overwhelmed with everything on my plate and i lost sight of who i wa i couldnt focus on anything because i wa too worried about school and work and my health issue it became too much and i dropped out of school with a anxiety stole my life away but xanax gave me the strength to gain it back im finally about to graduate have a wonderful job and just recently got engaged i am a normal person and i thank anxiety for calming my brain and enabling me to live a beautiful productive life i highly recommend it if you genuinely suffer from debilitating anxiety
248,alprazolam,im currently on alprazolammg a day ive been diagnosed with severe anxiety and panic disorder afraid of dying threw my experience because of my symptom which are rapid heart beat trouble breathing sweaty foot or clammy hand nausea trembling trouble sleeping going out to do anything became an issue too socializing and even faint dizzy pure fear of death this ha conflicted with my wife child job and my entire life period xanax ha given me my life back in full and am currently regaining my life back
251,alprazolam,i started having panic attack year ago when going through death in the family and the ending of my marriage to being a single mom i just could not cope with it any longer i cant tell you the trip to the er just to be gave a lorazepam my doctor tried other benzos but they just did not help the sudden attack they have upped my dose but at this point xanax is a life saver and i dont know what i would do without them the only draw back is the half life they wear off to soon and i will not take another dose until time to take it again those few hour are not good but and milligram a day is far a i will take this i have been on benzodiazepine for three year and that scare me but not like the panic attack those make you feel like your having a heartattack or worse i have had some that i really did not think i wa going to live through so my xanax stay until i can get off them when the stress is gone and a taper off never suddenly go off them it could be very dangerous a taper down is best but from what i have heard it not pleasant
254,adderall xr,i have been on adderall for several year now and cant say enough good thing about the medicine it help me to focus on task and now that i am in college it ha really helped with my study it took me a while to come to the realization that i needed something to help with my add and i am glad i wa prescribed adderall the side effect for me have been loss of appetite i would have insomnia but i take antianxiety medicine before going to bed to counteract the medication my short and unscientific philosophy on adderall is that it bridge the gap between wanting to do something and actually doing something
255,adderall xr,this medicine is not to be taken lightly it help very much
258,xanax,any drug can get a bad wrap because of some people abusing it a lot of doctor dont even like prescribing xanax because they dont want their patient getting quothookedquot for me i suffer from occasional anxiety attack and my prescription is quota neededquot anxiety attack can be very scary there were a few time i literally thought i wa gon na die it wa that bad i even went to the er once because i believed i wa having a heart attack they are different for different people i use to smoke and drink a lot of coffee so i think thats what screwed up my body chemistry i dont drink caffeine or smoke anymore all i know is that now that i have my alprazolam xanax in my pocket im not a scared to go place i can live my life again
259,fluoxetine,started th of may so hasnt been long suffered severe postnatal depression with youngest child year ago got over that and have been fine up until recently i had a miscarriage over christmas and over the month following found myself getting very low again but most of all noticed the anxiety hypochondria and irritation doctor put me mg fluoxetine a day and seems to be good so far definately le anxiety but also definately lack of energy and i have tiredness no matter how much sleep i get i feel like a zombie in the morning and yawn a lot until i have some coffee my sense of humour libido and appetite have decreased but i am putting that down to cant be bothered feeling sticking with it for now give hangover from hell too
260,xanax,in a case of emergency i would take xanax during the day but i usually take it at night to go to bed and to stop the anxiety and panic attack it make me feel so sleepy i dont know how anyone can take it during the day i felt high a a kite it work thats for sure
261,niravam,i suffer from combat related ptsd depression and panic attack have been taking ativan for several year with wellbutrin sr i still take the ativan to control the anxiety but since my doctor added niravam it seems a soon a it dissolve on my tongue i can feel almost immediate relief and it stop the panic attack in no time at all it truly a miracle medication
262,prozac,i wa prescribed the generic form of prozac and at week my depression became more severe i began feeling hopeless worse i have felt in a very long time im glad to hear that most people find improvement but wanted to share my experience
263,xanax,all started when i wa about year young all typical symptom racing thought palpitation high blood pressure dizzines fear choking feeling chest tightness fear of death and many other unbearable thing which happens when anxiety becomes uncontrollable over the year i have had my good day and my bad day sometimes to a point where i dont want to live anymore but then come good day and to live is the thing i want the most for those dark moment when close to panic xanax ha really helped me it get me a bit calmer straight away and then i can start breathing excercise and other little thing which help to calm down without xanax i honestly wouldnt know what to do
264,xanax,wa prescribed this by the va after retiring from the military am new to it but it make my life so much better have had horrible panic and anxiety attack for year even before i knew what they were driving meeting interacting in group you name it so far so good it really help
267,xanax,i started taking xanax at age and it wa a great medicine i had such bad panic attack and just constant anxiety i started out on a low dose and within min i felt calm and fine i got from the place of not being able to walk outside or answer the phone to being able to get married have a job go on vacation anything i wanted to do i wa normal but now im and on the highest dose mg a day and about year ago my horrible anxiety came back even though im taking it i cant work drive or really go anywhere anymore so i guess id say it work but then you may build up a tolerance and then it wont work
268,alprazolam,i have taken this for a chronic stuttering problem it ha lessened my anxiety anxiousness and depressive mood in speech situatuions a well a daily stress due to being fast acting it ha been my experience this is the better of the many antidepressant and antianxiety drug i have not found it addictive and have had no side effect
269,fluoxetine,a renowned medication to help pmdd but barely helped me helped with my anxiety and depression quite well despite lack of emotion but always got hormonal monthly which wa confusing it actually made some symptom worse on lexapro now so hopefully that help
270,alprazolam,i have been on xanax for about year now i have suffered with anxiety since i wa a child and depression later in life i started out only taking mg a day even going for period of time without taking it at all and then over the past year i have graduated to only mg a day i feel no need for an increase i suffer with all the usual anxiety symptom but one symptom that is most annoying is the choking sensation i feel in my throat i believe i carry my stress and worry there when i take xanax it take this terrible feeling away i find it extremely difficult to get a doctor to prescribe me this medicine a i moved to another state the people who abuse this drug make it extremely difficult for those of u who need it
271,fluoxetine,i took this with bupropion i stopped bupropion because i wa so edgy and irritable it wa suggested i wait for prozac to take full effect in about month i stopped prozac last night after a week of it alone i wa edgy irritable and didnt feel like doing productive thing like care about my job or care about studying on investing choice i just wanted to take a nap to relieve the buzzing in my head today i am not taking anything i feel better than yesterday
273,alprazolam,i mostly used xanax when i had an altercation verbal with my girlfriend she would overreact and a a result i would get so charged up that i couldnt switch back to normal taking xanax eased my nerve so that i could quotstart newquot with the conversation very powerful though and last a long time i took dos of mg im lb if semianxious dos made me very tired i blackedout for part of a night when taking mg memory of stuff that happened felt like memory of dream also cancel out adhd stimulant medication
274,xanax,i have been on a fairly high dose of this medication for over year now i can not tell you enough that it is an extremly horrible idea for long term use time daily or more or even le any long term use of this drug to me is almost a death sentence for that person it is probably the most difficult thing to stay off of if used for more then a month or straight im trying to get off them now myself but i am so very deep in a hole it almost hard to see the end once you stop say goodbye to sleep for a while and feeling like complete psychosis for the next few week or month till your brain come back from the hole you dug for it if i could go back and never take a benzo i would in a heart beat ssri and ssnris never worked for me
275,fluoxetine,suffered from anxiety for many year mostly social anxiety that resulted in panic attack tried therapy breathing technique relaxing workout eating healthy i really wanted to avoid medication at all cost i wa repeatedly missing work due to the fatigue of stress and decided to take my doctor advice at this time my immune system wa poor my skin wa horrible and my whole body ached i started prozac mg once a day and have been taking it for day i did not have any bad reaction or nausea my mood is significantly better my skin is better i am performing well at work i feel happy to communicate with others and i do not have panic attack anymore a daily happening before i feel so much better
276,alprazolam,i have been using this med on and off for year for insomnia i use mg dose it is very effective for me to get to sleep and even if you wake up in the night you can fall right back to sleep plus if you dream you may have only positive dream no bad situation dream at least that is my experience other overthecounter sleep aid give me that hang over feeling in the morning not alprazolam xanax used occasionally it is a good choice
278,alprazolam,not only doe a mg shut down racing thought and anxiety it reduces depression been on every other antidepressant out there with awful side effect dont need to take it every day
279,xanax,i wa prescribed mg of xanax for my hyperanxiety and panic attack a a lb man i needed a mg dose xanax really solves panic attack well and noticeably help with my anxiety it make it much easier to fall asleep which is great at bedtime but can be a real problem in the morning reading quotfeeling goodquot by dr david burn also really helped treat the thought that led to panic and anxiety
281,amphetamine,i have bipolar i disorder with psychotic and depressive feature and a diagnosis of adhd i take med for all three condition i take vyvanse mg in the am when that ware off i take evekeo mg twice every hour pm i also take my stimulant with ativan a i also have anxiety too evekeo is perfect for me it doesnt make me feel hyper nor doe it give me that high feeling it normalizes me and i can actually be driven and calm at the same time since i take two stimulant youre probably wondering how in the world all i can say is that vyvanse doesnt last all day long for me so i supplement with evekeo i take evekeo once vyvanse ware out im happy with them both
282,adderall xr,i agree with the person who stated there must be a quality control issue a sometimes it feel a if i never took the medicine at all next script i am going to check the capsule just so i can be sure hydration may be an issue a well
283,alprazolam,i got prescribed mg of xanax that i take once a day my wife had just died my anxiety wa so bad i would not leave the house nor would i barely eat it made me feel alive again and im able to function and get out and socialize like a normal person again i actually have a appetite now and im getting good sleep again which i havent felt in a long time xanax really saved my life
284,fluoxetine,i have taken prozac for about fifteen year no more cyclical valley of depression followed by high capable of handling extreme stress exercising weekly sex reduced libido my weight ha stayed the same the two to three time of exercising a week is all it take to be healthy only downside is acting out dream time a year and kicking leg while sleeping the dream i cant predict the kicking leg can be sensed in early evening and i just take two liquid advil to subdue them life is good
285,alprazolam,i am year old turning next month and i have panic disorder for a long time im gay and my life wa not easy at all my dad doesnt support me and then i got also depression i take this medication for about year now and i can tell you it work so good and it saved my life i wa afraid of going out in public working etc my life wa terrible with all my anxiety attack and that wa destroying my life if you feel the same talk to your doc and ask for xanax but do not take without prescription it is a drug and you must control it
